title_year,movie_title,content_rating,genres,plot_keywords,duration,language,country,color,aspect_ratio,budget,gross,director_name,director_facebook_likes,movie_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_imdb_voted_users,num_critic_for_reviews,num_user_for_reviews,imdb_score,movie_imdb_link
1990,Goodfellas ,R,Biography|Crime|Drama,betrayal|gangster|mafia|organized crime|robbery,146,English,USA,Color,1.85,25000000,46836394,Martin Scorsese,17000,25000,Robert De Niro,22000,Mike Starr,854,Paul Sorvino,635,24783,3,728685,192,989,8.7,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1
1975,One Flew Over the Cuckoo's Nest ,R,Drama,1960s|escape|mental institution|nurse|sexuality,133,English,USA,Color,1.85,4400000,112000000,Milos Forman,869,32000,Scatman Crothers,888,Michael Berryman,721,Louise Fletcher,425,2176,0,680041,149,760,8.7,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1
2002,The Lord of the Rings: The Two Towers ,PG-13,Action|Adventure|Drama|Fantasy,epic|evil wizard|middle earth|ring|wizard,172,English,USA,Color,2.35,94000000,340478898,Peter Jackson,0,10000,Christopher Lee,16000,Orlando Bloom,5000,Billy Boyd,857,23052,1,1100446,294,2417,8.7,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1
1999,The Matrix ,R,Action|Sci-Fi,artificial reality|computer|matrix|questioning reality|simulated reality,136,English,USA,Color,2.35,63000000,171383253,Lana Wachowski,0,25000,Keanu Reeves,18000,Marcus Chong,145,Gloria Foster,99,18563,3,1217752,313,3646,8.7,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1
1977,Star Wars: Episode IV - A New Hope ,PG,Action|Adventure|Fantasy|Sci-Fi,death star|empire|galactic war|princess|rebellion,125,English,USA,Color,2.35,11000000,460935665,George Lucas,0,33000,Harrison Ford,11000,Peter Cushing,1000,Kenny Baker,504,13485,1,911097,282,1470,8.7,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1
2016,A Beginner's Guide to Snuff ,,Comedy|Horror|Thriller,,87,English,USA,Color,,,,Mitchell Altieri,9,8,Kimberley Crossman,467,Luke Edwards,258,Bree Williamson,165,1270,0,13,,,8.7,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1
2014,Butterfly Girl ,,Documentary,,78,English,USA,Color,,180000,,Cary Bell,0,88,Abigail Evans,0,Stacie Evans,0,Emily Gorell,0,0,0,27,,1,8.7,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1
1968,Once Upon a Time in the West ,PG-13,Western,gang|gun|harmonica|killing|woman in bathtub,145,English,Italy,Color,2.35,5000000,,Sergio Leone,0,10000,Claudia Cardinale,973,Woody Strode,423,Jack Elam,392,2589,1,216005,164,565,8.6,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1
2001,Spirited Away ,PG,Adventure|Animation|Family|Fantasy,anime|bathhouse|pig|spirit|work,125,Japanese,Japan,Color,1.85,19000000,10049886,Hayao Miyazaki,6000,28000,Bunta Sugawara,17,Ryûnosuke Kamiki,10,Miyu Irino,7,44,0,417971,246,902,8.6,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1
,Luther             ,TV-MA,Crime|Drama|Mystery|Thriller,murder|police|psychopath,60,English,UK,Color,16,,,,,20000,Ruth Wilson,2000,Indira Varma,729,Warren Brown,256,3823,1,70568,51,105,8.6,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1
1946,It's a Wonderful Life ,PG,Drama|Family|Fantasy|Romance,angel|bank|guardian angel|second chance|small town life,118,English,USA,Color,1.37,3180000,,Frank Capra,964,41000,Donna Reed,488,Lionel Barrymore,275,Thomas Mitchell,248,1844,0,275720,206,706,8.6,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1
1936,Modern Times ,G,Comedy|Drama|Family,actor director writer|invention|machine|music score composed by director|tramp,87,English,USA, Black and White,1.37,1500000,163245,Charles Chaplin,0,0,Paulette Goddard,309,Stanley Blystone,8,Fred Malatesta,8,352,1,143086,120,211,8.6,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1
1942,Casablanca ,PG,Drama|Romance|War,american expatriate|casablanca morocco|gestapo|police|visa,82,English,USA,Color,1.37,950000,,Michael Curtiz,345,23000,Humphrey Bogart,2000,Claude Rains,607,Conrad Veidt,269,3442,4,387508,242,1123,8.6,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1
,Hannibal             ,TV-14,Crime|Drama|Horror|Mystery|Thriller,blood|cannibalism|fbi|manipulation|psychiatrist,44,English,USA,Color,1.78,,,,,59000,Caroline Dhavernas,544,Scott Thompson,183,Hettienne Park,148,996,1,159910,103,270,8.6,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1
1998,Saving Private Ryan ,R,Action|Drama|War,army|invasion|killed in action|normandy|soldier,169,English,USA,Color,1.85,70000000,216119491,Steven Spielberg,14000,22000,Tom Hanks,15000,Vin Diesel,14000,Matt Damon,13000,44998,2,881236,219,2277,8.6,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1
1991,The Silence of the Lambs ,R,Crime|Drama|Horror|Thriller,case file|fbi agent|psycho thriller|psychopath|serial killer,138,English,USA,Color,1.85,19000000,130727000,Jonathan Demme,438,40000,Anthony Hopkins,12000,Scott Glenn,826,Anthony Heald,173,13184,0,887467,185,916,8.6,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1
1998,American History X ,R,Crime|Drama,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,101,English,USA, Black and White,1.85,7500000,6712241,Tony Kaye,194,35000,Ethan Suplee,1000,Beverly D'Angelo,816,Stacy Keach,602,3858,2,782437,162,1420,8.6,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1
2014,Interstellar ,PG-13,Adventure|Drama|Sci-Fi,black hole|father daughter relationship|saving the world|space travel|wormhole,169,English,USA,Color,2.35,165000000,187991439,Christopher Nolan,22000,349000,Matthew McConaughey,11000,Anne Hathaway,11000,Mackenzie Foy,6000,31488,1,928227,712,2725,8.6,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1
1995,Se7en ,R,Crime|Drama|Mystery|Thriller,detective|police partner|serial killer|serial murder|seven deadly sins,127,English,USA,Color,2.35,33000000,100125340,David Fincher,21000,39000,Morgan Freeman,11000,Brad Pitt,11000,Reg E. Cathey,360,22678,0,1023511,216,1080,8.6,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1
1995,The Usual Suspects ,R,Crime|Drama|Mystery|Thriller,criminal|dirty cop|flashback|limping|suspect,106,English,USA,Color,2.35,6000000,23272306,Bryan Singer,0,28000,Kevin Spacey,18000,Chazz Palminteri,979,Kevin Pollak,574,20821,4,740918,162,1182,8.6,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1
,Spartacus: War of the Damned             ,TV-MA,Action|Adventure|Biography|Drama|History,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,55,English,USA,Color,16,,,,,31000,Peter Mensah,1000,Kelvin Taylor,939,Viva Bianca,898,6091,2,173172,68,302,8.6,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1
2015,Running Forever ,,Family,,88,English,USA,Color,,5000000,,Mike Mayhall,14,49,David Raizor,784,Cody Howard,763,Martin Kove,668,3021,2,8,,,8.6,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1
2002,The Pianist ,R,Biography|Drama|War,ghetto|holocaust|jewish|piano|warsaw ghetto,150,English,France, Black and White,1.85,35000000,32519322,Roman Polanski,2000,21000,Emilia Fox,396,Frank Finlay,338,Ed Stoppard,95,1075,0,497946,193,761,8.5,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1
2006,The Lives of Others ,R,Drama|Thriller,east germany|police|secret police|stasi|writer,137,German,Germany,Color,2.35,2000000,11284657,Florian Henckel von Donnersmarck,207,39000,Sebastian Koch,380,Ulrich Mühe,284,Martina Gedeck,155,927,3,259379,215,407,8.5,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1
2016,Airlift ,,Action|Drama|History|Thriller|War,1990s|businessman|evacuation|historical fiction|kuwait,130,Hindi,India,Color,2.35,4400000,,Raja Menon,6,10000,Nimrat Kaur,85,Sameer Ali Khan,26,Purab Kohli,12,151,1,30977,39,178,8.5,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1
1997,Children of Heaven ,PG,Drama|Family,class|gardening|race|school|shoe,89,Persian,Iran,Color,1.85,180000,925402,Majid Majidi,373,0,Bahare Seddiqi,36,Amir Farrokh Hashemian,35,Mohammad Amir Naji,27,100,0,27882,46,130,8.5,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1
1979,Alien ,R,Horror|Sci-Fi,alien|creature|future|outer space|spaceship,116,English,UK,Color,2.35,11000000,78900000,Ridley Scott,0,23000,Tom Skerritt,1000,Yaphet Kotto,581,Bolaji Badejo,513,2524,0,563827,392,1110,8.5,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1
,Happy Valley             ,TV-MA,Crime|Drama,caravan|police|police sergeant|tied to a chair|yorkshire,58,English,UK,Color,16,,,,,10000,Shirley Henderson,887,James Norton,340,Sarah Lancashire,250,2572,1,12848,11,59,8.5,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1
2011,Samsara ,PG-13,Documentary|Music,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,102,None,USA,Color,2.35,4000000,2601847,Ron Fricke,330,26000,Collin Alfredo St. Dic,48,Balinese Tari Legong Dancers,0,Puti Sri Candra Dewi,0,48,0,22457,115,69,8.5,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1
1985,Back to the Future ,PG,Adventure|Comedy|Sci-Fi,clock tower|delorean|future|time travel|time travel comedy,116,English,USA,Color,1.18,19000000,210609762,Robert Zemeckis,0,39000,Lea Thompson,1000,Thomas F. Wilson,690,J.J. Cohen,459,3230,0,732212,198,809,8.5,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1
1994,The Lion King ,G,Adventure|Animation|Drama|Family|Musical,king|prince|scar|uncle|unnecessary guilt,73,English,USA,Color,1.66,45000000,422783777,Roger Allers,28,17000,Matthew Broderick,2000,Nathan Lane,886,Niketa Calame,847,6458,0,644348,186,656,8.5,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,PG,Comedy,bomber|doomsday|general|u.s. president|war room,95,English,USA, Black and White,1.66,1800000,,Stanley Kubrick,0,18000,George C. Scott,654,Slim Pickens,575,Keenan Wynn,277,1991,0,342585,192,839,8.5,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1
,Entourage             ,TV-MA,Comedy|Drama,actor|fame|friendship between men|hollywood california|sitcom,28,English,USA,Color,1.78,,,,,0,Debi Mazar,680,Kevin Connolly,638,Kevin Dillon,576,2867,2,135643,52,145,8.5,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1
1999,The Green Mile ,R,Crime|Drama|Fantasy|Mystery,1930s|death row inmate|healing|prison guard|southern u.s.,189,English,USA,Color,1.85,60000000,136801374,Frank Darabont,0,30000,Tom Hanks,15000,Jeffrey DeMunn,745,Michael Jeter,693,17716,0,782610,186,1377,8.5,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1
1960,Psycho ,R,Horror|Mystery|Thriller,money|motel|rain|shower|theft,108,English,USA, Black and White,1.85,806947,32000000,Alfred Hitchcock,13000,18000,Janet Leigh,606,Vera Miles,332,John Gavin,285,1885,2,422432,290,1040,8.5,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1
2012,The Dark Knight Rises ,PG-13,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,164,English,USA,Color,2.35,250000000,448130642,Christopher Nolan,22000,164000,Tom Hardy,27000,Christian Bale,23000,Joseph Gordon-Levitt,23000,106759,0,1144337,813,2701,8.5,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
2000,Gladiator ,R,Action|Drama|Romance,battlefield|blood|combat|gladiator|roman empire,171,English,USA,Color,2.35,103000000,187670866,Ridley Scott,0,21000,Djimon Hounsou,3000,Connie Nielsen,933,Oliver Reed,695,6521,0,982637,265,2368,8.5,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1
1991,Terminator 2: Judgment Day ,R,Action|Sci-Fi,future|liquid metal|multiple cameos|sexy woman|time travel,153,English,USA,Color,2.35,102000000,204843350,James Cameron,0,13000,Joe Morton,780,Jenette Goldstein,604,S. Epatha Merkerson,539,2829,0,744891,210,983,8.5,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1
2012,Django Unchained ,R,Drama|Western,dynamite|historically inaccurate|ku klux klan|n word|slavery,165,English,USA,Color,2.35,100000000,162804648,Quentin Tarantino,16000,199000,Leonardo DiCaprio,29000,Christoph Waltz,11000,Ato Essandoh,265,40978,1,955174,765,1193,8.5,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1
2006,The Departed ,R,Crime|Drama|Thriller,boston|mole|police|undercover|undercover cop,151,English,USA,Color,2.35,90000000,132373442,Martin Scorsese,17000,29000,Leonardo DiCaprio,29000,Matt Damon,13000,Ray Winstone,1000,45648,0,873649,352,2054,8.5,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1
2006,The Prestige ,PG-13,Drama|Mystery|Sci-Fi|Thriller,illusion|magician|obsession|rivalry|secret,130,English,USA,Color,2.35,40000000,53082743,Christopher Nolan,22000,49000,Christian Bale,23000,Hugh Jackman,20000,Scarlett Johansson,19000,63986,1,844052,341,1100,8.5,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1
1979,Apocalypse Now ,R,Drama|War,army|green beret|insanity|jungle|vietnam,289,English,USA,Color,2.35,31500000,78800000,Francis Ford Coppola,0,19000,Harrison Ford,11000,Marlon Brando,10000,Robert Duvall,3000,25313,1,450676,261,983,8.5,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1
1981,Raiders of the Lost Ark ,PG,Action|Adventure,archeological dig|archeologist|ark of the covenant|egypt|nazi,115,English,USA,Color,2.35,18000000,242374454,Steven Spielberg,14000,16000,Harrison Ford,11000,Karen Allen,783,William Hootkins,488,12906,1,661017,234,771,8.5,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1
2000,Memento ,R,Mystery|Thriller,flashback|memory|murder|short term memory|telephone,113,English,USA, Black and White,2.35,9000000,25530884,Christopher Nolan,22000,40000,Callum Rennie,716,Thomas Lennon,651,Jorja Fox,379,1997,0,845580,274,2067,8.5,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1
2014,Whiplash ,R,Drama|Music,conservatory|drummer|emotional abuse|music school|obsession,107,English,USA,Color,2.4,3300000,13092000,Damien Chazelle,141,129000,J.K. Simmons,24000,Melissa Benoist,970,Chris Mulkey,535,26495,0,399138,535,731,8.5,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1
,Outlander             ,TV-MA,Drama|Romance|Sci-Fi,based on novel|clan|scotland|scottish highlands|year 1743,64,English,USA,Color,16,,,,,31000,Tobias Menzies,1000,Graham McTavish,531,Stephen Walters,184,1863,8,50391,30,148,8.5,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1
,Anne of Green Gables             ,TV-G,Drama|Family,girl|heroine|kindred spirit|orphan|rural setting,199,English,Canada,Color,1.33,,,,,0,Zack Ward,662,Jonathan Crombie,517,Megan Follows,505,2667,0,14251,2,74,8.4,http://www.imdb.com/title/tt0088727/?ref_=fn_tt_tt_1
2001,Amélie ,R,Comedy|Romance,cheerfulness|female protagonist|garden gnome|magical realism|waitress,122,French,France, Black and White,2.35,77000000,33201661,Jean-Pierre Jeunet,0,39000,Mathieu Kassovitz,326,Jamel Debbouze,326,Isabelle Nanty,54,809,0,534262,242,1314,8.4,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1
2015,Baahubali: The Beginning ,,Action|Adventure|Drama|Fantasy|War,ancient india|dual role|good versus evil|hindu|kingdom,159,Telugu,India,Color,1.85,18026148,6498000,S.S. Rajamouli,50,21000,Tamannaah Bhatia,218,Anushka Shetty,133,Prabhas,72,554,1,62756,44,410,8.4,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1
2006,Rang De Basanti ,Not Rated,Comedy|Drama|History|Romance,freedom|friend|india|student|urination,157,Hindi,India,Color,2.35,,2197331,Rakeysh Omprakash Mehra,85,0,Anupam Kher,397,Steven Mackintosh,227,Madhavan,199,1519,0,70233,33,321,8.4,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1
2011,A Separation ,PG-13,Drama|Mystery,alzheimer's disease|caregiver|divorce|iran|iranian,123,Persian,Iran,Color,1.85,500000,7098492,Asghar Farhadi,0,48000,Shahab Hosseini,786,Leila Hatami,712,Peyman Moaadi,620,2501,2,151812,354,264,8.4,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1
1984,Once Upon a Time in America ,R,Crime|Drama,1920s|ambiguity|childhood friend|new york|speakeasy,251,English,Italy,Color,1.85,30000000,5300000,Sergio Leone,0,12000,Robert De Niro,22000,Burt Young,683,Treat Williams,642,24719,8,221000,111,495,8.4,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1
1997,Princess Mononoke ,PG-13,Adventure|Animation|Fantasy,anime|cult film|forest|princess|studio ghibli,134,Japanese,Japan,Color,1.85,2400000000,2298191,Hayao Miyazaki,6000,11000,Minnie Driver,893,Jada Pinkett Smith,851,Billy Crudup,745,2710,0,221552,174,570,8.4,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1
1980,Lion of the Desert ,PG,Biography|Drama|History|War,arab|general|libya|muslim|mussolini,156,English,Libya, Black and White,2.35,35000000,,Moustapha Akkad,278,0,Oliver Reed,695,Rod Steiger,279,John Gielgud,249,1573,0,9852,24,55,8.4,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1
